seq	kingdom	phylum	class	order	family	genus	species
seq_6457	1.00	0.96	0.55	0.22	0.22	0.22	0.07
seq_6459	1.00	0.74	0.66	0.63	0.41	0.08	0.05
seq_6460	1.00	0.82	0.04	0.01	0.01	0.01	0.01
seq_6461	0	NA	NA	NA	NA	NA	NA
seq_6464	1.00	0.74	0.09	0.03	0.02	0.01	0.01
seq_6466	1.00	1.00	1.00	1.00	1.00	0.96	0.96
seq_6467	1.00	0.76	0.19	0.08	0.06	0.01	0.01
seq_6469	0	NA	NA	NA	NA	NA	NA
seq_6462	1.00	0.91	0.17	0.16	0.05	0.04	0.01
seq_6468	1.00	1.00	0.98	0.89	0.85	0.85	0.71
seq_6471	1.00	0.77	0.77	0.15	0.13	0.11	0.11
seq_6470	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6475	1.00	1.00	0.99	0.96	0.96	0.47	0.47
seq_6476	1.00	0.82	0.79	0.71	0.54	0.54	0.54
seq_6472	1.00	0.63	0.60	0.12	0.12	0.02	0.02
seq_6473	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6478	1.00	0.42	0.41	0.08	0.05	0.02	0.01
seq_6479	1.00	0.52	0.48	0.16	0.05	0.04	0.01
seq_6481	1.00	0.78	0.25	0.09	0.06	0.06	0.02
seq_6477	1.00	1.00	1.00	1.00	1.00	1.00	0.97
seq_6482	1.00	0.52	0.52	0.29	0.29	0.29	0.17
seq_6484	0	NA	NA	NA	NA	NA	NA
seq_6483	1.00	0.89	0.89	0.23	0.18	0.06	0.05
seq_6486	1.00	1.00	0.79	0.60	0.36	0.35	0.19
seq_6485	1.00	0.11	0.10	0.02	0.02	0.02	0.02
seq_6489	1.00	0.04	0.04	0.04	0.04	0.04	0.04
seq_6488	1.00	0.69	0.23	0.21	0.07	0.07	0.07
seq_6490	1.00	0.95	0.21	0.04	0.04	0.03	0.02
seq_6492	1.00	0.97	0.88	0.72	0.38	0.26	0.26
seq_6493	1.00	0.83	0.66	0.14	0.14	0.03	0.03
seq_6495	1.00	0.17	0.16	0.01	0.01	0.01	0.01
seq_6498	1.00	0.92	0.77	0.37	0.12	0.02	0.02
seq_6497	1.00	0.84	0.47	0.28	0.27	0.09	0.09
seq_6491	1.00	0.54	0.46	0.14	0.01	0.01	0.01
seq_6496	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6499	1.00	0.52	0.28	0.11	0.08	0.08	0.08
seq_6500	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_6501	1.00	0.99	0.79	0.75	0.51	0.21	0.21
seq_6503	1.00	0.56	0.56	0.18	0.10	0.10	0.01
seq_6509	1.00	0.77	0.28	0.26	0.26	0.18	0.18
seq_6506	1.00	0.95	0.24	0.14	0.14	0.12	0.12
